sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
0.282,16.777,9.386,0.889,17.523,5.527,13.171,3.351,8.816,1.395
6.797,16.663,42.195,7.646,1.341,18.401,7.048,13.369,7.685,3.024
13.706,39.617,3.990,27.023,22.491,19.606,6.081,3.638,1.298,2.543
5.189,26.573,2.340,2.298,18.974,43.667,36.438,9.982,23.575,0.428
2.597,0.759,12.276,7.808,11.414,21.921,18.614,11.875,19.343,10.738
1.548,1.518,15.744,30.552,15.230,4.226,32.033,18.856,7.290,0.695
15.507,7.753,0.062,1.424,5.042,4.932,5.989,3.496,25.373,1.191
2.901,13.066,3.412,7.488,4.412,12.681,3.178,4.857,2.630,7.901
7.406,0.991,18.199,5.071,9.557,22.459,40.076,11.675,9.791,22.183
19.244,3.312,22.010,9.665,11.025,9.773,1.334,1.957,26.102,31.191
9.091,6.909,28.084,5.170,10.644,11.408,2.198,11.355,1.358,14.225
5.851,21.886,14.679,23.116,5.306,8.434,5.508,7.215,12.479,4.253
3.607,1.696,11.039,4.594,9.527,10.599,0.749,2.240,4.105,7.183
15.958,18.767,0.235,30.043,13.269,6.032,26.728,28.198,2.818,29.823
1.929,4.371,5.346,7.483,32.006,29.746,27.271,5.133,20.125,1.031
5.591,13.947,12.917,17.935,18.881,32.302,0.125,13.408,17.456,14.505
26.394,15.612,12.485,32.140,8.889,2.878,2.321,1.409,19.383,2.287
11.043,10.424,43.162,19.746,2.894,20.226,0.928,20.642,12.535,17.874
7.297,12.936,10.259,13.142,17.185,1.036,0.299,10.438,19.423,30.122
0.531,11.435,3.731,7.013,33.833,4.223,5.210,5.446,10.136,3.629
7.564,1.586,7.528,41.975,5.476,3.280,4.775,1.083,1.852,24.403
0.436,2.489,0.831,2.573,6.520,22.254,20.000,10.350,25.530,22.270
1.955,17.182,0.413,1.089,19.642,13.074,0.656,10.901,20.536,23.695
31.853,26.534,3.156,30.784,9.546,11.487,0.056,0.054,46.884,9.410
15.375,36.314,0.587,10.652,17.572,13.065,4.263,0.090,9.713,16.330
0.835,22.816,32.231,13.191,9.062,2.249,15.135,26.477,19.772,9.329
8.375,15.542,10.838,38.222,11.468,15.045,30.658,10.600,3.146,18.993
3.154,20.635,1.394,12.036,3.863,48.301,17.689,2.822,14.661,13.870
18.960,17.419,7.098,5.280,20.508,5.640,2.713,2.942,31.476,6.315
0.137,0.537,12.260,8.637,30.935,24.536,10.823,2.086,12.490,19.186
3.669,9.877,17.357,21.301,2.853,20.435,2.261,19.722,4.795,32.841
37.958,18.773,4.789,1.759,26.477,12.540,1.199,0.442,3.916,5.194
3.327,5.605,0.367,12.883,9.707,19.669,35.894,14.418,0.755,6.811
5.012,4.789,28.629,37.684,3.251,12.567,1.568,27.721,2.866,23.784
11.746,0.035,11.118,4.375,6.241,40.853,0.043,3.288,29.413,4.761
8.771,33.434,8.511,21.139,1.409,27.881,1.466,0.767,5.139,25.136
12.741,3.315,29.121,23.679,4.446,23.873,0.240,17.403,17.699,5.756
10.678,6.606,2.866,9.783,14.685,3.150,6.220,0.875,26.984,0.662
5.002,8.318,6.881,9.871,7.964,16.037,21.139,28.682,15.376,0.637
4.143,7.749,15.835,13.867,5.040,2.541,4.712,24.959,2.786,0.810
21.086,0.724,6.329,2.406,0.922,2.383,0.015,22.503,8.683,0.363
0.928,9.649,9.433,5.480,15.653,34.238,3.498,24.972,34.140,23.720
26.584,3.959,3.961,18.540,23.477,0.252,13.637,3.662,23.141,3.803
25.715,17.305,15.892,9.250,21.730,6.287,0.308,33.027,25.588,8.606
32.158,3.741,0.446,19.207,36.339,0.846,3.345,8.386,17.540,0.140
26.894,12.152,13.378,14.592,0.018,16.277,9.362,20.818,2.977,21.043
31.809,12.308,3.940,1.282,9.694,35.964,7.373,16.469,38.491,15.955
13.185,0.154,16.595,15.388,24.219,17.648,14.172,18.258,4.625,19.992
1.578,0.815,7.879,9.491,13.006,9.055,7.265,26.143,1.594,5.066
0.795,22.745,0.402,9.230,1.513,6.970,1.145,9.823,4.981,19.432
0.813,19.673,1.138,21.318,14.936,5.558,11.050,5.443,18.690,14.769
14.329,2.655,5.416,1.090,0.717,25.942,2.215,31.752,0.420,9.230
20.625,8.677,14.514,8.931,36.042,1.819,8.213,9.054,12.011,11.959
31.094,2.405,6.770,36.088,38.757,1.358,11.396,13.646,19.908,0.182
4.490,5.806,14.735,29.657,35.898,0.286,1.137,38.114,20.536,3.487
19.243,2.427,24.276,42.993,13.809,18.418,3.202,1.763,3.709,25.089
22.242,9.653,11.357,27.555,12.242,29.463,3.090,1.666,7.554,5.369
0.903,4.261,1.494,11.025,46.256,7.094,2.027,2.968,13.741,16.300
12.597,1.751,24.100,9.555,9.781,6.665,3.401,5.924,26.950,14.368
1.161,3.869,13.020,28.180,23.640,9.955,2.793,18.716,2.595,30.691
6.460,4.345,28.419,13.472,7.226,1.504,4.218,15.735,1.064,0.174
6.219,11.045,19.813,28.305,23.577,2.391,13.884,0.272,34.403,6.637
1.474,20.699,2.345,14.660,3.068,31.746,7.569,1.780,25.273,1.309
1.504,12.870,4.100,12.355,5.957,2.599,0.249,3.846,27.323,16.794
3.203,12.778,0.956,32.037,4.261,15.658,30.902,38.436,26.816,2.309
29.638,3.507,9.580,5.311,21.582,1.144,17.952,1.194,10.229,7.462
2.104,5.651,22.254,18.472,12.740,2.883,32.321,0.602,1.108,31.730
8.593,3.770,10.233,21.503,23.659,0.528,3.785,33.395,1.844,16.672
0.253,44.806,10.700,22.401,14.166,6.968,2.660,38.371,1.968,10.452
7.328,8.758,34.854,15.449,12.021,22.045,19.366,10.152,7.506,21.926
9.217,14.237,32.105,28.684,8.832,12.433,44.348,10.836,3.898,12.106
3.053,18.776,4.790,1.764,27.469,3.467,7.276,30.779,33.262,8.462
8.389,6.320,11.238,19.941,15.442,1.986,39.752,11.796,9.522,5.419
6.280,0.100,1.223,5.252,20.683,25.637,10.046,9.621,5.872,5.962
36.078,10.922,2.961,34.689,1.599,17.715,6.283,4.822,37.218,2.793
29.081,13.873,5.773,13.676,41.767,1.460,24.109,17.041,3.899,26.799
31.523,28.970,6.298,2.056,0.334,5.764,29.376,0.885,31.236,3.499
11.030,0.638,0.384,12.369,35.597,24.962,1.027,15.729,1.428,26.492
19.166,20.649,13.228,1.387,7.240,7.877,4.687,2.686,5.363,25.256
17.198,29.456,24.716,18.630,10.781,3.507,14.589,0.016,33.288,15.719
10.637,5.046,10.209,2.444,35.037,0.552,7.322,13.165,8.908,8.712
12.565,38.408,0.134,19.162,37.833,1.778,4.493,17.546,37.594,5.677
1.352,9.693,9.703,29.744,23.791,24.143,4.318,5.989,6.402,41.609
31.728,3.414,2.657,10.396,1.646,0.229,34.241,37.894,17.264,33.310
25.910,15.722,40.746,4.328,5.450,14.594,15.321,8.985,13.999,3.591
6.420,16.406,20.851,15.464,16.573,2.098,28.948,2.507,10.678,0.906
20.317,38.491,9.055,4.241,22.422,29.515,0.869,2.170,1.282,21.625
17.263,7.754,0.038,1.517,0.374,12.695,6.804,0.581,11.159,19.993
11.805,11.278,3.053,11.657,14.226,3.456,0.450,13.778,6.786,8.472
38.993,8.218,0.708,1.947,25.319,6.219,20.471,32.727,3.704,5.482
34.802,7.058,4.683,2.298,2.483,10.694,9.723,14.104,18.376,40.973
13.223,0.846,17.328,14.932,23.831,25.339,0.266,34.176,27.342,3.545
15.969,2.177,2.287,11.807,27.190,9.999,8.289,14.049,11.295,2.983
5.255,25.794,36.417,1.001,4.973,2.095,0.792,6.985,16.074,1.251
37.488,2.142,1.671,1.695,35.310,0.714,12.869,1.082,2.165,0.957
4.937,1.987,7.383,39.413,35.537,1.711,40.793,6.738,2.313,4.048
9.408,4.348,5.658,26.610,1.289,14.911,18.744,2.735,30.557,32.591
33.794,31.046,12.330,13.682,17.163,26.787,4.456,6.667,13.663,5.587
19.149,21.693,42.800,18.324,9.495,7.839,27.833,12.771,21.629,6.896
0.969,0.854,0.084,10.737,6.484,2.176,6.090,6.206,6.153,10.663
2.463,1.873,21.153,2.125,12.154,16.258,16.605,16.401,3.297,1.566
35.584,8.570,22.549,9.374,2.991,3.521,3.331,20.778,1.538,31.666
21.951,10.243,9.636,0.233,1.012,6.108,32.669,11.631,7.824,4.603
2.091,6.245,4.294,21.019,4.684,22.492,5.784,27.261,26.023,7.657
0.751,7.833,12.807,0.700,34.818,15.469,0.065,7.381,13.208,22.016
20.871,33.594,16.063,5.143,5.198,39.509,5.880,2.434,19.796,0.609
13.284,13.038,13.148,26.693,5.182,30.841,46.977,2.472,12.836,2.890
11.403,4.390,3.558,17.294,2.653,34.978,14.986,6.547,5.108,10.232
3.038,14.859,14.040,1.332,3.666,10.759,31.374,4.691,5.221,9.582
23.915,0.330,30.925,6.505,4.140,14.341,11.566,1.918,5.812,5.285
32.587,6.307,42.229,10.977,2.620,0.416,2.181,0.613,19.734,8.127
11.681,13.968,7.786,1.796,10.868,34.771,37.095,20.789,38.973,1.572
22.494,0.248,0.715,21.537,0.915,14.668,5.875,5.808,0.495,42.991
0.797,9.066,18.905,10.568,28.082,14.801,16.488,11.656,7.141,0.131
5.702,0.419,29.004,8.552,22.916,0.953,2.923,17.983,32.871,15.744
0.872,5.951,26.769,2.861,18.048,6.038,14.343,37.187,1.563,37.268
3.566,31.366,43.475,5.070,0.213,0.185,0.766,6.218,0.643,19.281
13.627,16.829,37.921,18.667,25.443,5.709,0.927,28.930,9.957,4.038
19.983,31.550,19.821,8.868,8.046,4.970,14.832,1.439,10.268,15.352
1.792,18.086,10.884,26.534,33.712,14.773,3.703,0.601,47.685,11.339
7.881,9.586,16.189,9.180,6.718,20.605,21.440,24.721,21.530,0.099
13.305,21.042,1.008,0.383,3.885,19.767,8.988,32.219,1.853,5.298
16.384,1.549,4.483,36.441,7.994,3.473,22.872,0.628,33.741,7.017
35.342,9.202,46.027,10.272,15.566,2.581,5.189,1.848,6.412,15.280
1.726,27.929,0.607,9.200,19.544,32.736,6.139,21.963,3.049,4.021
38.620,2.316,2.167,0.103,0.425,20.982,20.750,7.152,37.026,4.001
6.993,20.177,40.937,12.046,19.693,6.098,1.912,34.626,2.334,22.897
34.491,13.055,8.155,0.021,12.289,17.932,21.638,18.195,0.056,0.524
7.635,0.434,1.741,10.020,17.198,40.219,31.455,8.077,11.402,10.494
17.006,12.875,13.922,5.856,22.335,25.166,0.988,21.408,3.495,0.580
8.465,36.142,24.559,21.678,14.152,6.376,21.163,8.454,2.026,40.903
12.931,10.710,9.187,6.875,40.594,8.000,0.993,5.683,4.461,8.250
5.628,9.915,14.676,0.399,8.577,4.907,21.248,14.366,32.878,18.729
11.012,27.599,6.919,20.938,23.872,17.267,6.038,19.329,8.807,3.502
17.777,14.675,0.568,20.214,1.621,22.266,0.532,8.668,7.904,18.959
3.140,3.404,8.558,8.482,4.983,6.358,13.794,28.790,4.115,19.807
11.975,23.061,10.061,24.231,20.768,7.776,41.553,0.089,16.667,4.741
0.699,29.938,4.090,3.313,14.133,7.171,3.639,25.707,14.481,1.474
5.792,3.391,2.147,4.307,3.271,22.164,13.966,22.318,11.184,17.079
1.798,0.335,42.944,13.391,1.018,3.554,4.871,12.963,3.141,29.299
1.869,16.983,23.775,0.609,5.637,34.908,1.976,11.890,11.789,25.290
1.940,6.423,5.292,35.728,3.920,2.806,22.285,19.052,44.344,4.726
7.458,13.074,1.205,13.996,5.478,5.898,0.051,8.973,2.045,2.959
7.956,14.165,2.060,21.697,1.621,5.315,0.386,2.951,1.245,1.093
15.530,2.517,5.879,32.843,14.977,9.660,5.004,1.077,26.366,14.849
5.898,17.976,11.526,1.031,3.744,7.812,2.868,0.845,22.531,11.688
6.787,2.551,0.823,24.304,18.002,12.276,0.509,4.474,3.551,23.681
4.707,12.716,12.071,42.428,43.005,15.072,4.738,20.921,14.842,15.620
35.096,20.877,24.973,10.138,20.517,14.250,16.731,9.302,7.079,15.515
6.878,16.490,18.085,21.026,6.988,1.829,1.710,4.314,10.438,10.828
17.130,9.331,1.385,1.218,9.316,0.349,3.851,5.413,47.808,12.753
7.099,12.517,13.451,37.847,5.532,9.927,2.515,16.919,11.042,3.960
2.285,3.171,21.355,3.033,22.877,18.542,24.847,12.620,40.132,2.089
17.980,5.285,18.749,5.579,8.537,1.177,0.270,11.521,39.260,32.933
8.610,8.774,8.417,3.219,1.676,8.248,6.518,3.909,24.319,23.860
23.011,1.494,6.563,41.793,23.350,18.410,3.784,30.390,39.735,22.884
11.686,3.922,7.436,4.851,4.477,28.511,1.859,7.654,5.729,33.131
4.113,4.804,23.808,45.797,1.739,11.936,41.278,6.362,34.699,41.370
9.803,0.605,1.151,19.077,17.184,3.331,35.928,15.050,18.636,15.859
7.789,3.392,3.384,10.329,7.911,31.623,0.193,5.068,14.391,4.621
22.697,2.035,1.295,14.390,38.365,0.902,14.616,31.823,17.736,32.322
2.426,9.856,20.504,9.015,2.646,9.197,28.867,13.908,18.778,0.879
24.352,10.048,34.554,13.355,14.675,2.105,23.370,15.076,2.052,7.502
2.290,9.868,16.396,7.253,10.462,8.383,10.080,13.728,3.728,24.145
8.531,4.775,8.962,19.587,32.756,0.557,8.307,14.142,0.811,7.492
12.383,1.406,28.772,0.032,23.593,1.830,0.657,8.604,9.262,46.854
33.080,7.270,45.798,22.096,16.840,13.823,14.251,23.405,0.793,8.698
26.233,1.271,0.172,3.225,0.577,8.941,1.542,25.336,2.498,12.331
30.238,14.833,18.314,29.223,18.662,15.089,17.873,6.665,0.616,5.014
20.444,0.016,3.737,7.867,7.042,12.820,0.313,33.902,6.479,29.245
15.050,11.592,36.237,11.649,1.522,1.903,11.047,5.005,4.556,13.435
3.258,14.759,9.274,8.676,13.187,25.189,3.091,44.612,8.756,32.300
17.369,15.986,1.924,0.906,15.557,13.100,3.518,8.089,20.024,0.216
2.695,22.796,11.131,4.431,14.063,2.023,10.681,17.940,3.269,0.269
9.413,3.995,27.728,6.246,0.767,25.495,25.370,2.001,10.979,6.720
5.607,6.422,38.218,23.366,8.291,11.114,20.212,6.084,8.406,9.443
17.114,10.459,2.848,3.717,33.832,15.424,1.721,1.335,4.873,22.826
1.514,34.805,10.539,1.899,5.415,2.818,2.745,38.726,7.679,1.387
8.981,34.744,12.465,10.440,8.910,1.770,21.941,28.315,14.461,10.537
13.863,3.502,0.647,8.132,2.653,27.204,33.881,16.588,13.665,4.928
16.049,0.898,3.467,32.706,11.080,2.731,1.790,27.990,14.925,38.449
16.710,1.896,33.819,3.829,0.125,28.296,22.786,1.243,8.093,0.380
20.304,2.297,1.024,0.145,27.870,41.104,7.111,1.268,11.499,10.146
3.864,19.711,16.667,38.639,23.742,6.913,5.879,7.288,11.907,25.861
18.317,10.217,1.227,29.597,42.678,3.848,28.091,3.824,17.247,37.231
2.982,2.428,1.276,8.276,16.489,17.593,1.392,1.132,1.101,12.883
4.971,16.815,22.108,33.579,4.141,16.383,14.002,1.610,9.840,3.211
14.577,19.700,29.718,8.641,17.879,13.161,7.487,2.036,3.940,6.931
0.125,19.906,38.646,23.221,5.890,20.872,24.685,0.819,18.104,18.215
1.083,15.568,2.975,4.035,0.455,0.681,3.228,13.082,2.686,29.837
3.981,26.641,0.349,1.607,1.029,20.809,18.972,26.020,29.690,11.948
20.666,14.905,1.450,9.910,1.055,2.187,3.316,15.661,12.465,30.880
14.832,13.082,43.666,15.950,2.078,10.554,2.095,4.557,26.324,17.938
0.840,3.207,6.629,0.017,1.299,20.012,20.522,1.021,19.917,10.957
4.198,10.022,12.558,13.890,14.383,16.199,13.841,27.133,29.240,10.842
2.667,6.118,18.128,1.072,0.679,4.450,9.705,6.418,2.002,3.825
47.385,6.586,28.001,14.341,2.284,0.747,22.401,1.702,5.650,4.161
6.920,0.723,8.156,9.268,16.819,7.099,33.803,2.963,5.957,7.534
26.280,12.226,5.615,5.057,0.227,3.323,7.632,7.661,34.307,2.057
10.103,10.570,6.788,3.046,0.829,4.617,7.701,18.023,22.487,20.195
12.254,29.687,1.851,5.907,2.476,0.062,0.324,3.369,9.452,5.190
31.978,6.537,0.989,39.986,10.044,9.397,13.712,8.610,4.104,43.724
24.228,45.123,4.626,1.974,7.340,39.191,4.728,31.093,13.195,0.494
12.086,7.559,10.656,21.564,13.420,1.071,9.716,1.382,2.810,6.394
16.295,9.440,6.355,0.223,17.868,14.557,9.859,16.247,46.820,4.463
25.668,11.107,29.817,0.511,13.797,0.346,0.848,10.262,8.759,4.688
45.363,14.547,13.529,1.172,7.164,3.744,1.767,1.827,32.250,1.572
0.432,33.500,0.434,6.467,28.211,15.717,3.641,6.251,29.188,5.281
7.548,1.134,3.072,10.785,14.799,39.563,12.008,0.445,9.145,8.800
22.345,8.033,4.509,7.623,17.267,2.974,27.405,22.161,1.485,10.643
11.427,46.961,11.805,1.983,0.437,1.533,0.869,32.782,24.694,13.017
6.337,8.233,11.894,39.793,14.888,40.475,1.321,2.595,1.749,2.888
1.721,15.746,15.783,12.514,10.087,4.109,20.836,1.870,34.973,23.369
0.478,8.769,4.652,3.431,0.030,3.074,28.825,35.412,12.786,15.547
14.080,1.059,3.289,1.714,1.735,13.458,0.714,2.962,8.319,6.454
37.483,25.854,10.306,2.252,29.771,0.797,40.201,12.439,18.739,25.119
15.207,13.435,12.303,6.969,0.005,4.543,13.295,42.182,6.274,6.966
2.264,12.645,6.156,3.942,13.847,36.464,2.119,13.869,7.796,24.679
38.167,9.333,8.158,19.971,6.712,1.708,37.099,19.815,14.030,0.883
4.779,33.181,1.391,16.994,6.819,23.761,6.156,6.828,2.929,36.787
38.556,28.897,17.956,20.961,6.273,12.782,6.344,1.673,45.617,5.195
14.134,4.830,8.373,15.406,5.830,35.723,29.967,6.409,5.085,30.960
32.725,11.461,1.258,2.191,23.049,4.178,11.992,3.813,16.604,13.665
6.590,15.733,18.334,9.456,4.647,6.487,46.242,13.277,22.880,7.441
10.025,5.629,12.495,11.819,1.457,19.004,13.347,4.619,3.162,17.327
0.675,36.234,9.821,1.296,5.592,0.958,16.028,2.257,47.817,15.652
21.602,4.484,34.119,29.516,34.089,22.586,11.711,7.965,36.974,16.384
26.221,12.675,6.979,11.592,14.199,6.953,42.930,1.173,13.634,1.123
0.032,11.346,10.496,8.691,5.965,7.705,26.531,0.047,14.123,18.386
8.390,7.769,27.501,24.446,6.515,1.263,17.770,14.675,25.608,29.289
4.752,2.898,1.875,17.700,37.556,10.538,9.553,23.422,16.712,3.611
33.479,41.170,2.836,10.657,1.111,1.533,17.035,11.224,7.689,27.139
11.159,11.124,9.570,15.668,1.341,11.573,1.910,28.920,9.489,2.829
10.043,2.933,1.299,22.657,30.669,41.581,7.578,24.106,8.480,4.160
6.042,17.794,10.289,1.979,6.553,24.485,5.312,3.702,6.123,14.337
31.399,7.403,2.514,5.791,21.503,0.384,0.480,3.296,22.916,26.916
1.767,13.335,21.417,2.360,3.751,2.702,9.759,0.488,12.986,15.741
29.519,26.263,12.403,12.164,16.555,35.995,17.052,17.537,27.587,10.840
6.213,20.248,16.002,40.665,41.282,5.532,5.760,25.849,0.335,8.368
34.186,16.571,2.436,2.064,19.718,17.160,14.519,29.245,21.581,22.897
2.608,5.296,0.175,28.210,18.073,0.145,16.126,43.757,10.760,6.724
13.983,0.873,2.726,1.763,38.656,6.470,0.418,28.764,8.717,16.184
8.487,12.709,0.218,27.795,2.173,5.777,29.884,4.515,0.393,11.807
1.307,13.103,41.855,3.398,3.253,15.323,15.969,45.330,31.516,3.952
44.441,0.404,6.605,7.206,6.064,10.577,11.593,3.409,1.839,4.939
1.044,28.628,0.121,19.664,2.035,6.603,6.858,3.265,4.509,14.363
1.481,13.449,12.623,24.750,21.358,3.703,35.461,33.976,1.369,3.869
0.687,26.397,17.230,2.537,24.547,23.661,5.972,11.714,3.568,28.200
4.318,30.025,33.654,16.716,21.697,4.533,25.963,0.669,16.662,11.504
18.928,8.793,2.912,0.489,4.686,0.790,34.899,1.167,28.971,9.783
3.869,1.294,26.534,28.605,15.364,27.064,12.910,36.893,11.868,13.547
29.037,5.071,27.651,1.627,11.166,13.899,33.923,1.621,4.442,0.305
6.394,32.657,21.315,5.252,5.469,6.213,24.458,21.179,1.664,24.440
17.685,1.664,16.019,17.032,6.184,8.048,25.002,8.828,5.024,18.500
12.571,12.518,2.969,16.748,22.299,20.065,6.521,17.588,13.793,2.704
2.688,15.069,6.370,31.793,2.420,4.706,31.851,28.246,6.547,19.190
23.023,24.784,4.383,5.163,8.703,0.836,2.706,13.089,2.204,13.715
18.900,6.817,5.307,34.500,6.501,6.128,4.418,16.985,25.999,40.662
28.525,18.023,13.173,6.003,17.621,0.127,10.059,8.417,3.600,6.869
1.704,18.010,15.482,17.182,16.820,15.346,15.258,1.277,2.394,5.856
5.056,11.372,3.457,15.998,17.348,12.945,12.278,18.652,19.868,11.647
