CPU Package,CPU,Motherboard,GPU Thermal Diode
37.3,43,27,50
37.8,43,27,50
38,43,27,50
38.4,44,27,50
38.8,44,27,50
39.3,44,27,50
39.6,45,27,51
40,45,27,51
40.5,45,27,51
40.9,45,27,51
41.3,46,27,51
41.6,46,27,51
41.8,46,27,51
42,46,27,51
42.5,47,27,51
43,47,27,51
43.1,47,27,51
43.6,47,27,51
43.8,48,27,51
44.1,48,27,51
44.4,48,27,51
44.6,48,27,51
50.6,48,27,51
48.4,49,27,51
48.4,49,27,51
48.5,50,27,51
49,50,27,51
49,51,27,51
49.5,51,27,51
48.4,51,27,50
50.6,51,27,51
50.6,52,27,50
51.1,52,27,50
51.1,52,27,50
51.5,52,27,50
52,53,27,50
52,53,27,50
54,53,27,50
52.9,54,27,50
52.4,54,27,50
52.9,54,27,50
52.8,54,27,50
53.3,54,27,49
53.3,54,27,49
53.3,54,27,49
53.8,55,27,50
53.9,55,27,50
53.8,55,27,49
54.5,55,27,49
54.6,55,27,50
54.8,55,27,50
55.4,56,27,49
55.3,56,27,50
55.4,56,27,49
55.5,57,27,50
55.6,57,27,49
55.8,57,27,49
56,57,27,49
55.9,57,27,49
56.5,57,27,49
56.8,57,27,50
56.5,57,27,49
56.5,57,27,49
56.5,58,27,49
55.8,57,27,49
57,58,27,49
57.4,58,27,49
56.8,59,27,49
57.5,59,27,50
57.6,59,27,50
57.9,59,27,50
57.5,59,27,50
57.4,59,27,50
58,59,27,49
57,59,27,49
57.8,59,27,49
58,59,27,49
57.5,59,27,49
57.9,59,27,49
58.5,59,27,49
58.9,59,27,50
58.5,60,27,50
57.9,60,27,50
57.9,60,27,49
57.6,60,27,49
57.9,60,27,49
58.3,60,27,49
58.9,61,27,49
59.1,60,27,49
59.1,60,27,49
59.3,61,27,49
59.3,61,27,50
59.4,61,27,49
59.3,61,27,49
59.3,61,27,49
59.5,61,27,49
59.9,61,27,49
59.8,61,27,49
59.6,61,27,49
59.9,61,27,49
60.3,61,27,49
60.5,61,27,49
59.9,62,28,48
59.6,62,27,48
59.8,61,27,49
59.9,62,27,49
59.6,62,27,49
59.8,62,27,49
59.5,62,27,48
59.9,62,27,49
60.1,62,27,48
59.9,62,27,48
60.1,62,27,48
60,62,28,49
60,62,28,49
59.9,62,28,49
59.8,62,28,48
59.8,62,28,49
59.8,62,28,49
59.8,62,28,49
60.3,62,28,49
60,62,28,49
59.6,62,28,49
59.6,62,28,49
59.8,62,28,49
59.8,62,28,49
59,62,28,49
59.8,63,28,49
59.8,62,28,49
59.8,62,28,49
59.3,62,28,49
59.8,63,28,49
59.8,62,28,49
59.9,63,28,49
59.9,63,28,49
59.8,62,28,49
59.3,63,28,49
59.5,62,28,49
59.9,63,28,49
59.9,63,28,48
59.3,62,28,49
59,62,28,49
58.8,62,28,49
59.6,63,28,49
60.1,63,28,49
60,63,28,49
59.6,63,28,49
59.3,63,28,49
59.5,63,28,49
59.5,63,28,49
59.6,63,28,49
59.8,63,28,49
60.3,63,28,49
59.3,63,28,49
59.1,63,28,49
59.5,63,28,49
59.3,63,28,49
59.3,63,28,49
59.5,63,28,49
59.5,63,28,49
59.5,63,28,49
59.8,63,28,49
59.5,63,28,49
59.5,63,28,49
59.8,63,28,49
59.5,63,28,49
59.6,63,28,49
58.6,63,28,49
59,63,28,49
59,63,28,49
59.3,63,28,49
59.4,63,28,49
59.1,63,28,49
59.3,63,28,49
59.6,63,28,49
59.1,63,28,49
59.3,63,28,49
58.8,63,28,49
59,63,28,49
59.5,63,28,49
59.5,63,28,49
59.4,63,28,49
60,63,28,49
59.4,63,28,49
60.3,63,28,49
60.1,63,28,49
59.6,63,28,49
59.8,63,28,49
59.4,63,28,49
59.6,63,28,49
59.4,63,28,49
59.4,63,28,49
59.1,63,28,49
58.6,63,28,49
58.8,63,28,49
59,63,28,49
60.3,63,28,50
59.9,63,28,50
60,63,28,50
60.4,63,28,50
60.1,63,28,50
61,64,28,50
60.5,64,28,50
60.6,64,28,50
60.6,64,28,50
59.9,64,28,50
59.6,64,28,50
59.5,64,28,50
59.3,64,28,50
58.5,64,28,50
59.9,63,28,50
60.1,64,28,50
59.9,64,28,50
59.5,63,28,50
59.3,63,28,50
59.6,63,28,50
59.1,63,28,50
59.5,63,28,50
59.1,63,28,50
58.9,63,28,50
58.9,63,28,50
59.3,63,28,50
58.5,63,28,50
58.5,63,28,50
58.9,63,28,50
59.3,63,28,50
59.8,63,28,50
59.6,63,28,50
59.9,63,28,50
59.5,63,28,50
59.1,63,28,50
59.3,63,28,50
59.1,63,28,50
58.3,63,28,50
58.3,63,28,50
58.5,63,28,50
58.5,63,28,50
59.4,63,28,50
58.5,63,28,51
59.1,63,28,50
59,63,28,51
58.8,63,28,50
59,63,28,50
58.8,63,28,50
59.1,63,28,50
59,63,28,50
59,63,28,50
59.6,63,28,50
59.3,63,28,50
59.1,63,28,50
59.1,63,28,50
59,63,28,50
58.8,63,28,50
59.3,63,28,50
58.6,63,28,50
59,63,28,49
58.9,63,28,50
59,63,28,51
60.1,63,28,49
53.5,63,28,48
